,Index,Name,DisplayName,PostalCode,GoogleMapsUri
0,0,places/ChIJj_kp38sLkkYRtVNMKdyoK50,Restaurant Pjazza,00120,https://maps.google.com/?cid=11325331351492383669
1,1,places/ChIJZaQV3ssLkkYRJ52yQx1DQL0,Restaurant Gaijin,00120,https://maps.google.com/?cid=13636973464646753575
2,2,places/ChIJDXicglMLkkYRXQ-rEXnUd8U,Boulevard Bar & Seafood,00120,https://maps.google.com/?cid=14229075164152926045
3,3,places/ChIJj3rD4csLkkYR4rtKxWnW3Gk,Ravintola Boulevard Social,00120,https://maps.google.com/?cid=7628207618628697058
4,4,places/ChIJ1SRMX8kLkkYROFfIICaTlEE,Klaus K Hotel,00120,https://maps.google.com/?cid=4725563700986533688
5,5,places/ChIJFdphX8kLkkYRy3ODYQu6-wE,Restaurant Toscanini,00120,https://maps.google.com/?cid=142912371235713995
6,6,places/ChIJi_0MBnkLkkYRXEVYVdAUv8U,Wintergarden Bar,00120,https://maps.google.com/?cid=14249130631041140060
7,7,places/ChIJ1bovRmcLkkYRRwyEdgoaATw,Robertsc Coffee Bubbles Corner,00100,https://maps.google.com/?cid=4323765749492747335
8,8,places/ChIJ2W2_ykgLkkYRmgnNA1rYlkQ,Restaurant Pamela,00120,https://maps.google.com/?cid=4942375522208123290
9,9,places/ChIJ28orH4cLkkYRS3G1ZnDKMFE,Trattoria Il Centro,00120,https://maps.google.com/?cid=5850398500062589259
10,10,places/ChIJofSAAr4LkkYRT58loYsK0V0,Restaurant Chicken Joint,00120,https://maps.google.com/?cid=6760196110480154447
11,11,places/ChIJFRwZiQsLkkYRvsb4Z7A_ttI,Chalupa Lönkka,00120,https://maps.google.com/?cid=15183393220617356990
12,12,places/ChIJdw1Z4aMLkkYRXJ5s9fruzwg,Taqueria El Rey,00101,https://maps.google.com/?cid=634988834109300316
13,13,places/ChIJrxqtt4ALkkYRmF-KUpMfPu8,Maako's Oy,00120,https://maps.google.com/?cid=17239251141226291096
14,14,places/ChIJpdwNgrQLkkYR9v3_KA-k-14,Beer Restaurant Pikkulintu Ruttopuisto,00120,https://maps.google.com/?cid=6844244443738930678
15,15,places/ChIJ9ecTqcsLkkYRRTy5X1-bQak,Restaurant Lönkka,00120,https://maps.google.com/?cid=12196200099826187333
16,16,places/ChIJU-ieqssLkkYR3RZroJs70R0,Naughty Brgr Lönnrotinkatu,00120,https://maps.google.com/?cid=2148564036829779677
17,19,places/ChIJtXHjqssLkkYRWsPZ1eZd6oE,Kotipizza Helsinki Kamppi,00120,https://maps.google.com/?cid=9361398021454676826
18,21,places/ChIJEyrZvEkLkkYR4r4OUI3y7Kw,Restaurant Karaz,00100,https://maps.google.com/?cid=12460600957774773986
19,23,places/ChIJ7UDSC8sLkkYRqIyuwbcvWJo,Bricco Annankatu,00100,https://maps.google.com/?cid=11121691746066402472
20,24,places/ChIJ36bwCcsLkkYRB4sbBayISh0,Lappi Ravintola,00100,https://maps.google.com/?cid=2110649647777942279
21,25,places/ChIJibjA4soLkkYR9aZ0v6ey3kA,Bar Loose,00100,https://maps.google.com/?cid=4674369896798529269
22,26,places/ChIJleLhVsoLkkYRDc6N8_tElmY,Restaurant Muru,00120,https://maps.google.com/?cid=7392171687288884749
23,27,places/ChIJ1zuy-VsLkkYROutRxlXHl1k,Cafe Pacifico,00100,https://maps.google.com/?cid=6455847762072300346
24,28,places/ChIJH87gMmkLkkYRyL4a71nnjEs,Hills Dumplings,00100,https://maps.google.com/?cid=5443980423033700040
25,29,places/ChIJFeO-VfgLkkYR9oCMawUOyjM,Noodle Story,00100,https://maps.google.com/?cid=3731810657671872758
26,30,places/ChIJDSipH8sLkkYRgEmI7a6qsOY,Momotoko Freda,00101,https://maps.google.com/?cid=16622973892910664064
27,31,places/ChIJ5-vuQRYLkkYREqVimw1NsfQ,Saiko Restaurant,00100,https://maps.google.com/?cid=17631958736969049362
28,32,places/ChIJ28KN73ALkkYRLTErVW7kouo,Mama's Pita Bar,00100,https://maps.google.com/?cid=16907327113628692781
29,33,places/ChIJ8z2kHssLkkYR1vj8TQ-KY50,Happy Food Garden,00100,https://maps.google.com/?cid=11341060084986607830
30,34,places/ChIJKVqzG8sLkkYRFfDuxa0Y534,Ravintola Domo,00100,https://maps.google.com/?cid=9144304703028260885
31,35,places/ChIJrW7m5soLkkYR1VmgtkmSfOQ,Nanking,00100,https://maps.google.com/?cid=16464195183053920725
32,36,places/ChIJPxqyuWoLkkYRvl1jS_qsUNk,面师傅 Noodle Master,00100,https://maps.google.com/?cid=15659206095373819326
33,37,places/ChIJL7fnDQILkkYRp-Wk4FPdvw0,Kimchi BBQ Buffet Kamppi (Korean BBQ Buffet and sushi buffet),00100,https://maps.google.com/?cid=990753795365725607
34,38,places/ChIJgYslZf4LkkYRA0gWJ4zFWIE,Nabi Korean BBQ,00100,https://maps.google.com/?cid=9320416634585106435
35,39,places/ChIJJQ7VhcILkkYRUYi6DMp5rHM,Leijuva Lahna,00100,https://maps.google.com/?cid=8335170919059851345
36,40,places/ChIJi8f_v6sLkkYR9VUcRTOkLnI,Latin Bistro & Bar Maestro 51,00100,https://maps.google.com/?cid=8227694109362247157
37,41,places/ChIJudlJA14LkkYRkf0zAhuRu9k,Alice,00120,https://maps.google.com/?cid=15689293272062360977
38,42,places/ChIJeS7e4j8LkkYRiUT8TKfIpu8,Café Boardgame,00100,https://maps.google.com/?cid=17268710442075440265
39,43,places/ChIJPSx8JssLkkYRuE0FQ0uQ7Vo,Eerikin Pippuri Kebab,00100,https://maps.google.com/?cid=6552051685815307704
40,44,places/ChIJXyUKFXgLkkYRKH7xXCqA7Ro,Buenos Aires Cafe / Bar,00100,https://maps.google.com/?cid=1940347933902863912
41,45,places/ChIJT5Fu28ILkkYRAMKkr2cT3ok,Bar Mendocino,00180,https://maps.google.com/?cid=9934399164075262464
42,46,places/ChIJDR8YzsoLkkYRG_r6Vjhqdns,Eerikin Kulma,00180,https://maps.google.com/?cid=8896414904126994971
43,47,places/ChIJx10DoNcLkkYRWe3EcW7hsCk,Viinibaari Apotek / Wine Bar Apotek,00180,https://maps.google.com/?cid=3004148815927504217
44,48,places/ChIJJRfM18oLkkYRXhAsCFMLo7o,Ravintola Sisäpiha,00180,https://maps.google.com/?cid=13448605363505729630
45,52,places/ChIJe_OK1vALkkYRokYPqKAFx8Y,Restaurant Siipiweikot - Kamppi,00180,https://maps.google.com/?cid=14323423327447631522
46,53,places/ChIJsxEIKzUKkkYRI4ojUqODPj4,Madame Sauna&Lounge,00180,https://maps.google.com/?cid=4485167016388561443
47,54,places/ChIJ_8fbw8oLkkYRixiVgMEAtOI,Restaurant Gran Delicato,00180,https://maps.google.com/?cid=16335682579465574539
48,55,places/ChIJh6tahGkJkkYROK78C5S3LNI,Restaurant Thai Vegan Kitchen,00180,https://maps.google.com/?cid=15144681493424287288
49,56,places/ChIJHxSuSzUKkkYRJKvNmkny4fQ,Restaurant Pueblo Bar y Taqueria,00180,https://maps.google.com/?cid=17645651212958018340
50,60,places/ChIJ62k4t6ILkkYRPcc2mVGlmN8,Luckiefun’s Sushibuffet,00120,https://maps.google.com/?cid=16111809436799387453
51,61,places/ChIJiTO_9MsLkkYR7eRTkDpOjuA,Restaurant Marski: Kuusi Palaa,00100,https://maps.google.com/?cid=16180956524625257709
52,62,places/ChIJQ7DovqELkkYRSxJKnboXZlo,Hesburger Helsinki Mannerheimintie 8,00100,https://maps.google.com/?cid=6513920001308234315
53,63,places/ChIJY0IKg8sLkkYRJywnvLoJUu8,Hotel Marski by Scandic,00100,https://maps.google.com/?cid=17244856620780301351
54,64,places/ChIJtRGMn_oLkkYR3ySkFUpbQCI,Mikael Cake,00100,https://maps.google.com/?cid=2468072969547818207
55,65,places/ChIJ_1kKQgcLkkYR2OaWQ_G3CV8,Boon Nam,00120,https://maps.google.com/?cid=6848206955242514136
56,66,places/ChIJjw_n7MsLkkYRbx5KEPEu7U4,Hotel St. George Helsinki,00120,https://maps.google.com/?cid=5687253517334093423
57,68,places/ChIJxQyJissLkkYRJwQTz2XzGN4,Iguana,00100,https://maps.google.com/?cid=16003808894452433959
58,69,places/ChIJ1eSjW8gLkkYRpMVon2jCVlA,Burger King,00100,https://maps.google.com/?cid=5789028125638182308
59,70,places/ChIJyeVzd3ILkkYROg-5SWEp9RE,Red Dog Chicken Burritos,00100,https://maps.google.com/?cid=1293985965764316986
60,71,places/ChIJX92cd8wLkkYRYFuENCeFCmY,Taco Bell,00100,https://maps.google.com/?cid=7352835745067064160
61,72,places/ChIJL0IKg8sLkkYRWEOQtALGlEE,Putte's Bar & Pizza Kalevankatu,00100,https://maps.google.com/?cid=4725619623940080472
